Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeOdd,AwayOdd,Game_Code,HomeTeamShort,VisitorTeamShort
2019-04-03,Detroit Pistons,Indiana Pacers,89,108,1.7,2.19,03042019_ind_det,det,ind
2019-04-03,Los Angeles Clippers,Houston Rockets,103,135,2.2,1.7,03042019_hou_lac,lac,hou
2019-04-03,Miami Heat,Boston Celtics,102,112,1.91,1.92,03042019_bos_mia,mia,bos
2019-04-03,New Orleans Pelicans,Charlotte Hornets,109,115,2.64,1.51,03042019_cha_no,no,cha
2019-04-03,Orlando Magic,New York Knicks,114,100,1.08,8.34,03042019_ny_orl,orl,ny
2019-04-03,Phoenix Suns,Utah Jazz,97,118,5.72,1.15,03042019_uta_phx,phx,uta
2019-04-03,Portland Trail Blazers,Memphis Grizzlies,116,89,1.14,5.87,03042019_mem_por,por,mem
2019-04-03,Washington Wizards,Chicago Bulls,114,115,1.19,4.98,03042019_chi_wsh,wsh,chi
2019-04-04,Los Angeles Lakers,Golden State Warriors,90,108,8.83,1.07,04042019_gs_lal,lal,gs
2019-04-04,Philadelphia 76ers,Milwaukee Bucks,122,128,2.68,1.48,04042019_mil_phi,phi,mil
2019-04-04,Sacramento Kings,Cleveland Cavaliers,117,104,1.19,4.91,04042019_cle_sac,sac,cle
2019-04-05,Charlotte Hornets,Toronto Raptors,113,111,3.03,1.4,05042019_tor_cha,cha,tor
2019-04-05,Dallas Mavericks,Memphis Grizzlies,112,122,1.56,2.48,05042019_mem_dal,dal,mem
2019-04-05,Denver Nuggets,Portland Trail Blazers,119,110,1.4,3.03,05042019_por_den,den,por
2019-04-05,Golden State Warriors,Cleveland Cavaliers,120,114,1.04,12.14,05042019_cle_gs,gs,cle
2019-04-05,Houston Rockets,New York Knicks,120,96,1.02,16.78,05042019_ny_hou,hou,ny
2019-04-05,Indiana Pacers,Boston Celtics,97,117,1.99,1.83,05042019_bos_ind,ind,bos
2019-04-05,Los Angeles Clippers,Los Angeles Lakers,117,122,1.13,6.26,05042019_lal_lac,lac,lal
2019-04-05,Milwaukee Bucks,Brooklyn Nets,128,133,1.63,2.33,06042019_bkn_mil,mil,bkn
2019-04-05,Minnesota Timberwolves,Miami Heat,111,109,2.47,1.56,05042019_mia_min,min,mia
2019-04-05,Oklahoma City Thunder,Detroit Pistons,123,110,1.39,3.02,05042019_det_okc,okc,det
2019-04-05,Orlando Magic,Atlanta Hawks,149,113,1.24,4.23,05042019_atl_orl,orl,atl
2019-04-05,Phoenix Suns,New Orleans Pelicans,133,126,2.19,1.7,05042019_no_phx,phx,no
2019-04-05,Utah Jazz,Sacramento Kings,119,98,1.18,5.05,05042019_sac_uta,uta,sac
2019-04-05,Washington Wizards,San Antonio Spurs,112,129,3.21,1.37,05042019_sa_wsh,wsh,sa
2019-04-06,Chicago Bulls,Philadelphia 76ers,96,116,5.04,1.18,06042019_phi_chi,chi,phi
2019-04-06,Cleveland Cavaliers,San Antonio Spurs,90,112,4.2,1.24,07042019_sa_cle,cle,sa
2019-04-06,Detroit Pistons,Charlotte Hornets,91,104,1.35,3.25,07042019_cha_det,det,cha
2019-04-06,Indiana Pacers,Brooklyn Nets,96,108,1.71,2.16,07042019_bkn_ind,ind,bkn
2019-04-06,Minnesota Timberwolves,Oklahoma City Thunder,126,132,3.23,1.36,07042019_okc_min,min,okc
2019-04-06,Toronto Raptors,Miami Heat,117,109,1.42,2.95,07042019_mia_tor,tor,mia
2019-04-07,Boston Celtics,Orlando Magic,108,116,1.56,2.46,07042019_orl_bos,bos,orl
2019-04-07,Golden State Warriors,Los Angeles Clippers,131,104,1.13,6.45,07042019_lac_gs,gs,lac
2019-04-07,Houston Rockets,Phoenix Suns,149,113,1.02,17.73,07042019_phx_hou,hou,phx
2019-04-07,Los Angeles Lakers,Utah Jazz,113,109,6.96,1.11,07042019_uta_lal,lal,uta
2019-04-07,Memphis Grizzlies,Dallas Mavericks,127,129,1.96,1.86,07042019_dal_mem,mem,dal
2019-04-07,Milwaukee Bucks,Atlanta Hawks,115,107,1.12,6.67,07042019_atl_mil,mil,atl
2019-04-07,New York Knicks,Washington Wizards,113,110,2.43,1.58,07042019_wsh_ny,ny,wsh
2019-04-07,Portland Trail Blazers,Denver Nuggets,115,108,1.25,4.1,07042019_den_por,por,den
2019-04-07,Sacramento Kings,New Orleans Pelicans,129,133,1.12,6.66,07042019_no_sac,sac,no
2019-04-09,Chicago Bulls,New York Knicks,86,96,1.78,2.07,09042019_ny_chi,chi,ny
2019-04-09,Cleveland Cavaliers,Charlotte Hornets,97,124,4.15,1.25,09042019_cha_cle,cle,cha
2019-04-09,Dallas Mavericks,Phoenix Suns,120,109,1.26,4.03,09042019_phx_dal,dal,phx
2019-04-09,Detroit Pistons,Memphis Grizzlies,100,93,1.09,7.79,09042019_mem_det,det,mem
